name,position,company,description,session_title,date,time,location,company_type,company_size,company_hq_address,company_hq_country,company_international
Adrien Nussenbaum,"Co-founder & Co-CEO,",Mirakl,"Four years later, both Adrien and Philippe left FNAC to found Mirakl in 2012 and become the first marketplace platform leading the platform revolution. Since then, Mirakl has grown to help over 300 customers launch and scale an online marketplace in more than 40 countries around the world. The company's latest $555M Series E fundraising values the company over $3.5B and places it among the most dynamic players in eCommerce, globally",Don’t Leave Money on the Table: Turn your Commerce Business into a Retail Media Profit Engine,13 May 2025,12:10 - 12:50,Track 2,Technology,500-1000 employees,"83 Avenue de la Grande Armée, 75116 Paris, France",France,Yes
Adwaita Nayar,"Co-founder and CEO,",Nykaa Fashion,"Adwaita Nayar is the CEO of Nykaa Fashion & the co-founder of Nykaa. Over the decade at Nykaa, she has held multiple roles within the Nykaa ecosystem. In the early years, she was the COO of the beauty business, where she drove marketing, operations and product. Later, in 2017, she moved on to lead the foray into physical retail, where she launched 30 stores over 1.5 years across two formats. Another milestone in her journey of serial entrepreneurship at Nykaa was founding Nykaa Fashion in 2019. Adwaita is currently the CEO of Nykaa Fashion, where she spearheads the multi-brand retail business, as well as a vast assortment of owned brands including Nyri, NYKD, Likha, MIXT, Azai, Kica, 20Dresses, Pipa Bella and more.",How to Build for your Community,13 May 2025,11:30 - 12:10,Track 1,E-commerce,200-500 employees,"104 Vasan Udyog Bhavan, Sun Mill Compound, Lower Parel, Mumbai, Maharashtra 400013, India",India,No
Akash Gupta,"Co-Founder and CEO ,",GreyOrange,"While still a student at Birla Institute of Tech and Science, a top-5 college in India, Akash teamed up with fellow student Samay Kohli to begin winning global robotic competitions and the success led them to found GreyOrange. He proceeded to build an R&D engine able to unite multiple software and robotic technologies to transform the fulfillment operations of companies around the world. Akash has led mentoring sessions and workshops at more than 25 educational institutions globally, including Stanford University, Louisiana University, MIT, IITs, and IIIT. Akash was named to MIT Technology Review’s global list of “35 Innovators under 35,” has designed and implemented an active underwater Sonar Stabilization System at the University of Louisiana and served on the Chief Organizing Committee of RoboCup 2011-2012.",Where AI Meets the Aisle – Because Every Shopper Deserves a Personal Touch,13 May 2025,12:50 - 13:50,50 Crystal Palace Suite,Technology,1001-5000 employees,"Building 1, 1st Floor, 14th Main Rd, Sector 7, HSR Layout, Bengaluru, Karnataka 560102, India",India,Yes
Alex Genov,"Customer Research Leader,","Author, “Forget the Customer, See the Person”","I use my deep knowledge in Social Psychology and Behavioral Science and years of industry experience to explain and predict consumer and customer behavior. That human element is more needed now in the age of AI than ever.  In my professional life, I am driven by my passion for understanding and improving customer experiences. In that quest, I apply my Psychology background to solve business problems and enhance people's lives. I am committed to mentoring teams, fostering innovation, and exploring new methods to boost customer satisfaction and business performance.

I am also a Customer Research professional with a proven track record in CX and UX research, Usability, Market Segmentation, Voice of the Customer (VOC) and User Experience Design. I have been applying my deep knowledge of Experimental Social Psychology to tackle business challenges, leading initiatives that drive significant ROI and enhance customer satisfaction with roles at renowned companies like Zappos, Intuit (Amazon), and State Farm Insurance.",Humanizing Retail - Understanding the Holistic Customer 14-May-2025 11:30 – 12:10 Track 3 Interactive Debate: Humanising Retail: Putting people back into data,14 May 2025,16:00 - 17:30,Track 3,Not available,Not available,Not available,Not available,Not available
Allyson Zimmerman,"CEO,",LEAD Network Europe,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.",Why are some trying to exclude Diversity and Inclusion?,14 May 2025,15:00 - 15:20,Track 1,Non-profit Organization,Not available,Not available,Netherlands,Yes
Amit Chitnis,"Chief Commercial Officer,",Ocado Retail,"Amit Chitnis joined Ocado Retail in December 2023 as Chief Commercial Officer, leading the transformation of its buying and commercial strategy. Focused on delivering Unbeatable Choice, Unrivalled Service, and Reassuringly Good Value, Amit has been working to strengthen Ocado’s supplier relationships and internal culture, helping the business achieve record-breaking growth in 2024.",How to unlock growth through better supplier partnerships,14 May 2025,12:10 - 12:30,Track 3,Retail,Not available,"Buildings One & Two, Trident Place, Mosquito Way, Hatfield, Hertfordshire, AL10 9UL",United Kingdom,No
Amit Sarda,"Managing Director,",Soulflower India,"Mr. Sarda focused on consumer experience, Sustainability and Inclusivity at a time when it was not talked about in the Board Room meetings. He made products which were pure, natural, vegan, cruelty free and preservative free before most Indian brands entered this space which is now the fastest growing segment in the FMCG category. Mr. Sarda focuses on delighting the customer at every touchpoint and this is the first message every employee gets while joining the organization. He has ideated many innovative activities like ‘Make your own Aroma’ where a customer can make his own signature aroma and it instantly became a hit and connected with the consumer. It is through this constant endeavor of delighting the customer under his leadership that the company bagged 3 prestigious Abby awards last year and got recognized as India’s most Promising Brand of 2018 by Economic Times.",Quick Commerce,13 May 2025,12:10 - 12:30,Track 1,Personal Care & Beauty Products,51-200 employees,"Mumbai, Maharashtra, India",India,No
Andrew Gossage,"CEO,",Ultimate Products,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.","Driving Growth in PE, VC or PLCs",13 May 2025,14:00 - 14:40,Track 2,Consumer Goods,200-500 employees,"Manor Mill, Victoria Street, Chadderton, Oldham, OL9 0DD, United Kingdom",United Kingdom,Yes
Anja Madsen,"COO,",Pets at Home,"Anja joined Pets at Home in 2024 with extensive retail experience in both the UK and Denmark, having held prominent positions at Tesco and Sainsbury’s, and most recently serving as CEO of føtex, a premier supermarket chain in Denmark. Over the course of the last 15 years, Anja has successfully led across all parts of retail operations including commercial, strategy, transformation, supply chain and operational management. Prior to this, Anja was a marketing leader at Johnson & Johnson in Europe and the Middle East following four years as a strategy consultant across a range of industries.",Why Inclusive Leadership Matters More Than Ever,14 May 2025,11:30 - 12:10,Track 1,Retail,"10,000+ employees","Epsom Ave, Stanley Green, Handforth, Wilmslow SK9 3RN, United Kingdom",United Kingdom,No
Arja Taaveniku,"CEO, Home Centre,",Landmark Retail,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.",Not available,12th - 14th May 2025,Not available,Not available,Retail,"55,000 employees","Oasis Centre, 3rd Floor, Sheikh Zayed Road, Al Quoz, Dubai",United Arab Emirates,Yes
Barbara O'Beirne,"Global Head of Industry and Value Consulting,",Stripe,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.",Making Unified Commerce a Reality,13 May 2025,12:50 - 13:50,Not available,Technology,"Over 7,000 employees","510 Townsend Street, San Francisco, CA 94103, USA",United States,Yes
Bart Denolf,"CEO and Founder,",Chleon,"An accomplished academic, Denolf holds a Law Degree (cum laude) from the University of Ghent, a Master's in European Law from the University of Cantabria, a Master's in Marketing, Sales, and Business Administration from ESIC, and has completed executive programs at IESE, INSEAD, Stanford University, and MIT.",International Expansion in a Changing World,13 May 2025,14:40 - 15:40,40 Crystal Palace Suite,Not available,Not available,Not available,Not available,Not available
Ben Tye,"Global Managing Partner and CEO,",Gate One,"Global Managing Partner and CEO at Gate One (a Havas Company), with three decades of expertise in digital and business transformation across a diverse range of sectors worldwide. He has the strategic insight and experience to guide clients through complex, high-impact transformations that deliver lasting value.",People-first retail transformation strategies,13 May 2025,14:40 - 15:20,Track 1,Consulting,51-200 employees,"The Relay Building, 114 Whitechapel High St, London E1 7PT, United Kingdom",United Kingdom,Yes
Brieane Olson,"CEO,",Pacsun,"Olson has driven purpose-led partnerships with cultural icons and organizations that align with Pacsun’s values. She led collaborations with A$AP Rocky as Pacsun’s first guest artistic director, Paris Hilton, and Selena Gomez’s Rare Impact Fund, reinforcing the brand’s commitment to creativity, self-expression, and youth empowerment. She also launched the Pacsun Artist Network Series, an extension of the Pacsun Collective, to elevate emerging designers, content creators, and cultural influencers shaping the future of fashion.",how to learn from challenger brands and to adopt a different way of connecting with customers,14 May 2025,14:00 - 14:40,Track 2,Retail,1001-5000 employees,"3450 E Miraloma Ave, Anaheim, CA 92806, United States",United States,No
Britt Olsen,"Chief Commercial Officer,",On,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.","Britt Olsen, Chief Commercial Officer, On",13 May 2025,10:20 - 10:40,Main Stage,Sportswear,1001-5000 employees,"Pfingstweidstrasse 106, 8005 Zurich",Switzerland,Yes
Carolin Klar,"Member of the Executive Board,",Bonprix,"Carolin Klar, Managing Director Product, Sourcing & Corporate Responsibility at bonprix, combines her extensive expertise in fashion and sustainability with a passion for delivering exceptional customer experiences. Since March 2023, she has been serving on the Executive Board of bonprix. Prior to this role, she was Vice President of Product Management, where she oversaw various product ranges starting in 2018. Carolin began her journey at bonprix in 2008 in Assortment Marketing, before transitioning to Product Management in 2011. Carolin is dedicated to inspiring customers through modern fashion trends, variety, price attractiveness, quality, and sustainability, while ensuring a unique shopping experience.",The power of strategic sourcing partnerships,14 May 2025,14:40 - 15:00,Track 3,Retail,3000+ employees,"Haldesdorfer Straße 61, 22179 Hamburg, Germany",Germany,Yes
Carsten Keller,"CEO,",Chrono24,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.",How to Build for your Community,13 May 2025,11:30 - 12:10,Track 1,E-commerce,400+ employees,"Haid-und-Neu-Straße 18, 76131 Karlsruhe, Germany",Germany,Yes
Catherine Brien,"Partner and Managing Director,",AlixPartners,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.",Leading the AI Revolution,13 May 2025,16:10 - 16:40,Main Stage,Consulting,2000+ employees,"909 Third Avenue, New York, NY 10022, United States",United States,Yes
Catherine Shuttleworth,Unknown,Retail Analyst,"Catherine Shuttleworth is one of the UK's leading retail marketing experts. With more than 30 years’ experience of focusing on the retail industry and shopper insight, she has strong relationships with, and has advised some of the UK's leading retailers, including Asda, M&S, Boots and Morrisons.

A highly respected retail analyst, Catherine has run her award-winning marketing agency, Savvy Marketing for the past 19 years, where she and her team of over 50 people help the world's biggest brands and retailers sell more by influencing shopper and consumer behaviours online, in store and on the move. Described as insightful, creative, pragmatic and with an innate understanding of brands and their consumers, Catherine's no-nonsense approach is centred around placing insight at the heart of all marketing activity that Savvy delivers. Catherine is a well-known commentator across the media on all things retail appearing on TV, Radio and in the press on a weekly basis.",The Gen Z Consumer - Insights and Buying Habits,14 May 2025,12:50 - 13:50,50 Crystal Palace Suite,Not available,Not available,Not available,Not available,Not available
Charlotte Keesing,"Director,",Walpole,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.",Luxury,13 May 2025,15:50 - 16:10,Main Stage,Retail,Not available,"50 Brook Street, London W1K 5DR, United Kingdom",United Kingdom,No
Cheryl Potter,"Non-Executive Director,",Marks & Spencer,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.","Driving Growth in PE, VC or PLCs",13 May 2025,14:00 - 14:40,Track 2,Retail,"Over 70,000 employees","Waterside House, 35 North Wharf Road, London, W2 1NW, United Kingdom",United Kingdom,Yes
Chris Aubrey,"Global Retail Director,",Jaguar Land Rover (JLR),"He went on to hold senior executive roles at Samsung, Dyson, Canada Goose, and Jaguar Land Rover. At Dyson, he pioneered the brand’s direct-to-consumer physical retail strategy and developed immersive store formats that set new standards for customer experience and retail innovation. Most recently at Jaguar Land Rover, he has been leading a transformative shift in how Jaguar shows up physically, reimagining the retail network to create an elevated experience that delivers on the brand’s promise of “Copy Nothing”.",Future of Physical Retailing,13 May 2025,17:00 - 17:30,Main Stage,Automotive,"About 40,000 employees","Abbey Road, Whitley, Coventry CV3 4LF, United Kingdom",United Kingdom,Yes
Christina Fontana,"Senior Director, Brand Operations EMEA,",SHEIN,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.",Adapting the Retail Model for a New Growth Path,14 May 2025,14:10 - 14:40,Track 2,"E-commerce, Fashion Retail","10,000+ employees",Not available,China,Yes
Dan Coen,"President, Strategy and Markets,",PDS Ltd.,"Dan comes with over 20 years of experience in the Business Consulting and Finance sector. Dan was a Partner & Managing Director at AlixPartners, a global consulting firm, where he was a leader in the firm’s retail practice.",Overcoming Sourcing and Supply Chain Challenges in a Volatile World,14 May 2025,14:40 - 15:20,Track 2,Not available,Not available,Not available,Not available,Not available
David Billings,"VP, Digital UK & Ireland, Empathy Lab ,",EPAM,"By blending Empathy Lab by EPAM’s proprietary accelerators with custom software, and partnerships with top cloud providers, he helps clients unlock the full potential of their marketing data and technology. His focus areas include retail media platforms and AI-driven marketing optimization.",How agentic solutions are already accelerating customer data value for retailers and brands,14 May 2025,07:45 - 08:45,Not available,Information Technology and Services,"Over 58,000 employees","41 University Drive, Suite 202, Newtown, PA 18940, USA",United States,Yes
David Moore,"International Retail & Development Director,",SPAR International,"David has been the Retail & Development Director of SPAR International since 2016, responsible for new business and the effective expansion and implementation of the SPAR Brand and its multi-format stores worldwide. David has spent over 40 years working in the Food Retail industry. Having joined SPAR in 2009, he was initially responsible for international development in India and the Middle East and sharing retail operations best practices of SPAR. In this role, he developed new SPAR retailing disciplines for the global SPAR network and successfully launched the SPAR brand in the countries of India, Sri Lanka, Oman, UAE, Saudi Arabia and Qatar.",Adapting the Retail Model for a New Growth Path,14 May 2025,15:50 - 16:20,Main Stage,Retail,"370,000 employees","SPAR International, Westland Square, Pearse Street, Dublin 2, Ireland",Ireland,Yes
David Roth,"CEO and Chairman,",The Store - WPP and BAV,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.",how to learn from challenger brands and to adopt a different way of connecting with customers,14 May 2025,14:40 - 15:20,Track 2,Marketing and Advertising,Not available,"Sea Containers, 18 Upper Ground, London SE1 9GL, UK",United Kingdom,Yes
Deborah Weinswig,"Founder & CEO,",Coresight Research,"Deborah has been a trusted thought leader at the crossroads of technology, finance, and retail for nearly two decades. As a leading analyst and strategist, Deborah also has deep expertise in AI, Metaverse, China, livestreaming, retail media, supply chain, commercial real estate, and data monetization. In 2023, Deborah conceptualized and launched the first AI Council for the retail industry. This invitation-only organization has proven invaluable in helping brands, retailers, and technology companies navigate business in the artificial intelligence age.",Growing Disruptive Retail Brands,13 May 2025,12:00 - 13:00,Track 1,Market Research,11-50 employees,"575 Fifth Avenue, 14th Floor, New York, NY 10017, USA",USA,Yes
Dennis Schröder,"CEO,",SNIPES,"With more than 800 stores and online shops across Europe and the United States, SNIPES is not only a global retail powerhouse but also way more than just a retailer – it’s a cultural movement. SNIPES is deeply rooted in urban culture and operates at scale. From niche events for the community, own local recording to the biggest festivals in the world: SNIPES lives and breathes urban culture. Hyperlocal worldwide!",Building Worldwide Communities,13 May 2025,14:40 - 15:00,Track 2,Retail,Over 800 stores,"Schanzenstraße 41, 51063 Cologne, Germany",Germany,Yes
Devarajan Iyer,"CEO and Executive Director of Lifestyle India,",Landmark India,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.",International Expansion in a Changing World,13 May 2025,14:40 - 15:40,40 Crystal Palace Suite,Retail,"10,001+ employees","Maxus Mall, Near Temba Hospital Rd, Bhayandar West, Thane, Maharashtra 401101, India",India,Yes
Dirk van den Berghe,"Chairman,",Takko Fashion,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.",Retail in Asia,14 May 2025,14:25 - 14:45,Track 1,Retail,"Approximately 18,000 employees","Alfred-Krupp-Straße 21, 48291 Telgte, Germany",Germany,Yes
Elsa Pedro do Souto,"Global Senior Manager Insights & Analytics,",MARS,"Elsa believes that data should serve people — not the other way around. As a global leader in Analytics and Insights at Mars, she transforms complex data into pet and human-centered solutions that drive real-world impact. A passionate advocate for rethinking retail through a human lens, Elsa challenges organizations to see the stories behind the numbers and build a more connected future.",Humanizing Retail - Understanding the Holistic Customer 13-May-2025 14:40 – 15:20 Track 1 Discussion: People-first retail transformation strategies 14-May-2025 11:30 – 12:10 Track 3 Interactive Debate: Humanising Retail: Putting people back into data,13 May 2025,16:00 - 17:30,Track 1,"Food processing, Pet care, Confectionery, and Veterinary services","About 130,000 employees","6885 Elm Street, McLean, Virginia, 22101, USA",United States,Yes
Enrique Ostalé,"Chairman,",Falabella,"Between 2013 and 2022, he was President and CEO of Walmart Latam (2013-2015); he later added India and Africa to his responsibilities (2016-2017). Subsequently, he was President and CEO of Latam, the United Kingdom, and Africa (2017-2020). He was also the chairman of Walmart Mexico (Walmex) and Central America between 2013 and 2022. He led a business on three continents, with over 5,000 stores and 450,000 employees spread across Mexico, Central America, Argentina, Chile, the United Kingdom, South Africa, and 12 other African countries, as well as India, with revenues ranging from US$65 billion to US$85 billion.",Leading the AI Revolution,13 May 2025,16:10 - 16:40,Main Stage,Retail,"More than 100,000 employees","Rosas 1665, Santiago, Chile",Chile,Yes
Eshita Kabra,"Founder & CEO,",By Rotation,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.",How to Build for your Community,13 May 2025,11:30 - 12:10,Track 1,Fashion Technology,11-50 employees,"71-75 Shelton Street, Covent Garden, London, WC2H 9JQ, United Kingdom",United Kingdom,No
Fahed Ghanim,"CEO,",Majid Al Futtaim Lifestyle.,"Recognised as an authority in the Middle East retail landscape, Ghanim is a sought-after speaker at industry events throughout the region. His expertise lies in growth hacking and turnarounds, including the successful transformation and IPO of L'azurde PLC, a prominent Saudi-based jewelry company, marking his third business turnaround during his career. Most recently, Ghanim has achieved unprecedented success as CEO of Majid Al Futtaim Lifestyle, quadrupling the business since assuming the role five years ago.",Future of Physical Retailing,13 May 2025,08:00 - 09:00,Track 3,Retail,Not available,"Majid Al Futtaim Tower 2, Level 3, Dubai, United Arab Emirates",United Arab Emirates,Yes
Fiona Davis,"Global General Manager,",Overline,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.",Creating special discovery moments for customers,14 May 2025,11:30 - 12:10,Track 2,Not available,Not available,Not available,Not available,Not available
Fiona Eastwood,"CEO,",Merlin Entertainments,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.",Winning Customer Experience from Beyond Retail,14 May 2025,14:00 - 14:40,Track 1,Entertainment,"28,000 employees","Link House, 25 West Street, Poole, Dorset BH15 1LD",United Kingdom,Yes
Fraser Brown,"Retail Director,",Heathrow Airport,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.",Winning Customer Experience from Beyond Retail,14 May 2025,14:00 - 14:40,Track 1,Aviation,Not available,"The Compass Centre, Nelson Road, Hounslow, TW6 2GW",United Kingdom,No
Frederico Trajano,"CEO,",Magalu,"Frederico Trajano is Magalu’s CEO, one of the main retail platforms in Latin America and the biggest digital retailer in Brazil. Fred, as he is known, leads a conglomerate with around 1,300 brick and mortar stores, hundreds of distribution centers, and a team of 30,000 employees. He spearheaded what is considered one of the most significant digital transformations in Brazil and globally. He transformed a traditional retailer into an ecosystem with over 200,000 sellers, offering various services to democratize online sales.","Frederico Trajano, CEO, Magalu",13 May 2025,16:40 - 17:00,Main Stage,Retail,"Approximately 43,000 employees","Rua Arnaldo Magniccaro, 1000 - Vila Gertrudes, São Paulo - SP, 04795-000, Brazil",Brazil,No
Gary Topp,"European Commercial Director,",AliExpress,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.",Not available,12th - 14th May 2025,Not available,Not available,E-commerce,Not available,Not available,China,Yes
George Evans,"VP – Head of Cognizant Moment, EMEA & APJ,",Cognizant,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.",Change Agents: Are you ready for the future of shopping? Why retailers and CPG businesses need to prepare now for agentic AI,13 May 2025,07:45 - 08:45,Serpentine Room,Technology,"Over 300,000 employees","300 Frank W. Burr Blvd, Teaneck, NJ 07666, USA",United States,Yes
Georgina Smallwood,"Chief Product, Data and Technology Officer,",Moonpig,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.",How Retail & Brand Leaders are Building Connected Consumer Experiences with Data and AI,13 May 2025,11:30 - 12:10,Track 2,E-commerce,500+ employees,"Herbal House, 10 Back Hill, London EC1R 5EN, United Kingdom",United Kingdom,Yes
Graham Heuman,"Retail Insights Lead,",J.C. Williams Group,"Graham Heuman is a research and insights specialist at J.C. Williams Group, where he transforms data into strategic and innovative solutions for retail clients. As Co-chair of Ebeltoft Group’s “Young Ebeltoft” initiative, Graham works closely with international partners to shape the future of retail. Graham also sits on the Program Advisory Council for the Retail Management program at Toronto Metropolitan University, where he helps translate his experience into the Canadian retail curriculum. With a background spanning retail management in fashion and electronics, merchandising, and forecasting, he brings both frontline experience and global perspective to every project to help retailers deliver consistent, remarkable experiences.",The Next Generations in Retail: Gen Z and Gen Alpha as Employee and Consumer,14 May 2025,14:40 - 15:40,40 Crystal Palace Suite,Retail Consulting,Not available,Not available,Canada,Yes
Hani Weiss,"CEO, Max Fashion,",Landmark Group,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.","Rami Baitieh, CEO, Morrisons",14 May 2025,16:20 - 16:40,Main Stage,Retail,"55,000 employees","Oasis Center, Sheikh Zayed Road, Al Quoz, Dubai",United Arab Emirates,Yes
Heather Jackson,"Co-Founder and CEO ,",GenM,"Heather Jackson is CEO and Co-Founder of GenM - the Menopause Partner for Brands and Home of the MTick, the universal shopping symbol for menopause-friendly products. She is a visionary leader and her personal journey through perimenopause exposed the lack of education, support and product availability, was the catalyst to co-found GenM. The mission is to unite responsible brands and retailers, normalise the menopause conversation, and deliver much-needed choice, trust, and visibility to the menopausal market. Ultimately, empowering women to shop with confidence for products to improve the lived experience of menopause.",Enhancing Experiences for Underserved Customers,13 May 2025,12:30 - 12:50,Track 1,Healthcare,Not available,Not available,United Kingdom,No
