name,position,company,description,session_title,date,time,location,company_type,company_size,company_hq_address,company_hq_country,company_international
Oliver Vernon-Harcourt,"Partner | UK Retail Leader,",Deloitte,"Ol leads Deloitte’s Retail practice in the UK across the firm’s services of Audit & Assurance, Consulting, Financial Advisory, Risk Advisory and Tax & Legal. Prior to this, he led Deloitte’s Retail Consulting practice, working with both business and technology leadership to design and deliver strategic change to embrace digital, enable growth and improve efficiency. Ol is also one the firm’s leaders in retail eminence, from Retail Trends and the Deloitte Consumer Tracker to providing insight on profitability, connected supply chain and innovation in retail. He is passionate about retail and has worked across fashion, department stores, supermarkets, DIY and electrical sectors for over 20 years.",Shaping the Retail Industry Through the Future of the Consumer,14 May 2025,09:50 - 10:20,Main Stage,Professional Services,"Over 415,000 employees","30 Rockefeller Plaza, New York, NY 10112, United States",United States,Yes
Pallak Seth,"Executive Vice Chairman,",PDS Ltd.,"Pallak Seth is a serial entrepreneur and the Founder of PDS. With over 20 years of experience in fashion manufacturing, sourcing, and the investment ecosystem, he is passionate about innovation, sustainability, technology, and entrepreneurship.",Overcoming Sourcing and Supply Chain Challenges in a Volatile World,14 May 2025,14:40 - 15:20,Track 2,Fashion Manufacturing and Sourcing,Not available,Not available,India,Yes
Pareiya Gupta,"Head of Product and Strategy for gStore,",GreyOrange,"Pareiya Gupta is the Head of Product & Strategy for gStore at GreyOrange, where she leads the Go-to-Market strategy and product vision for the company’s in-store automation solution. With over a decade of experience in product management and more than seven years at GreyOrange, Pareiya has successfully taken multiple products from concept to scale - focusing on innovation, usability, and business impact. She has worked closely with some of the world’s largest retailers to modernize in-store execution, build intelligent inventory systems, and drive omnichannel success.",Where AI Meets the Aisle – Because Every Shopper Deserves a Personal Touch,13 May 2025,12:50 - 13:50,50 Crystal Palace Suite,Technology,1001-5000 employees,"Building 101, Candor TechSpace, Tikri, Sector 48, Gurugram, Haryana 122018, India",India,Yes
Patrick Chalhoub,"Executive Chairman,",Chalhoub Group,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.",A Legacy Conversation with Patrick Chalhoub,13 May 2025,15:50 - 16:10,Main Stage,Retail,"12,000 employees","Jebel Ali, Street 22, Dubai, United Arab Emirates",United Arab Emirates,Yes
Patrick Lasfargues,"VP International Partnerships,",Carrefour Group,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.",How to unlock the potential for international growth,14 May 2025,12:40 - 13:20,Track 2,Retail,"321,383 employees","33 Avenue Émile Zola, 92100 Boulogne-Billancourt, France",France,Yes
Paul O'Hara,"CPO and Property Director,",Halfords,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.",Why Inclusive Leadership Matters More Than Ever,14 May 2025,11:30 - 12:10,Track 1,Retail,"Approximately 10,000 employees","Icknield Street Drive, Washford West, Redditch, Worcestershire, B98 0DE, United Kingdom",United Kingdom,No
Paul Wright,"Head of Uber Advertising International,",Uber,"Paul started his career at Sky, where he moved from TV sales into the commercial web. He later co-founded a sports focussed ad network and held a variety of digital roles at Bauer and AOL. He was appointed as the first Chief Digital Officer for OMD Group UK and then Omnicom Media Group UK.",Creating special discovery moments for customers,14 May 2025,11:30 - 12:10,Track 2,Technology,"32,800 employees","1515 3rd Street, San Francisco, CA 94158, United States",United States,Yes
Paula Coughlan,"Chief People, Communications and Sustainability Officer,",Currys,"Before joining Currys, Paula held several leadership roles at McDonald's. Most recently, she was Global Chief People Strategy Officer, where she was responsible for nearly two million colleagues and had a global remit that spanned the business' youth opportunity programme, employer reputation, digital engagement, change management, organisational design and people analytics and insight. Prior to this, Paula was Chief People Officer for Europe and the International Lead Markets. Before her career at McDonald's, Paula held a range of senior people roles at PepsiCo in the UK and Europe.",Winning with the circular economy – and building better businesses,14 May 2025,12:10 - 12:50,Track 1,Retail,"Approximately 36,000 employees","1 Portal Way, London, W3 6RS, United Kingdom",United Kingdom,Yes
Peter Ruis,"Managing Director,",John Lewis Partnership,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.",Don’t Leave Money on the Table: Turn your Commerce Business into a Retail Media Profit Engine,13 May 2025,12:10 - 12:50,Track 2,Retail,"80,000 employees","171 Victoria Street, London SW1E 5NN, United Kingdom",United Kingdom,No
Rami Baitiéh,"CEO,",Morrisons,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.","Rami Baitieh, CEO, Morrisons",14 May 2025,16:20 - 16:40,Main Stage,Retail,"110,000 employees","Hilmore House, Gain Lane, Bradford, BD3 7DL",United Kingdom,No
Regis Schultz,"CEO,",JD Sports,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.","Regis Schultz, CEO, JD Sports 13-May-2025 10:20 – 10:40 Main Stage Keynote Interview: Britt Olsen, Chief Commercial Officer, On",13 May 2025,15:10 - 15:30,Main Stage,Retail,"Approximately 60,000 employees","Hollinsbrook Way, Pilsworth, Bury, BL9 8RR, United Kingdom",United Kingdom,Yes
Reid Nakou,"Chief Experience Officer & Head of Design,",The General Store,"With an immense passion for working with both brands and property owners, Reid’s skillset enables an unlocking of value across a multitude of disciplines and sectors - creating innovative experiences for brands, designing the environments they reside within, and establishing an inspiring strategy to stitch it all together. This philosophy, paired with a love of lateral thinking, informs a unique approach to design, one deeply rooted in customer experience, blue sky thinking and world class architectural concepts.",The World's Coolest Retailers 2025,14 May 2025,14:00 - 14:20,Track 3,Not available,Not available,Not available,Not available,Not available
René Van Dijk,"Director, Digital Strategy and Analytics,",ASICS,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.",How Retail & Brand Leaders are Building Connected Consumer Experiences with Data and AI,13 May 2025,11:30 - 12:10,Track 2,Sportswear and Equipment,"Approximately 9,000 employees","7-1-1, Minatojima-Nakamachi, Chuo-ku, Kobe, Hyogo 650-8555, Japan",Japan,Yes
Reniera O'Donnell,"Executive Lead,",Ellen MacArthur Foundation,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.",Winning with the circular economy – and building better businesses,14 May 2025,14:20 - 14:50,Track 1,Non-profit organization,51-200 employees,"The Sail Loft, 42 Medina Road, Cowes, PO31 7BX, United Kingdom",United Kingdom,Yes
Richard Baker,"Executive Chairman,",Saks Global,"Richard A. Baker is an experienced executive and established visionary with a reputation for capitalizing on opportunities that lie at the intersection of retail and real estate. Mr. Baker currently serves as Executive Chairman of Saks Global, the largest multi-brand luxury retailer in the world, comprising Neiman Marcus, Bergdorf Goodman, Saks Fifth Avenue, Saks OFF 5TH and a $7 billion Gross Asset Value portfolio of real estate assets in top markets across the U.S. Mr. Baker led the highly anticipated acquisition of Neiman Marcus Group and established Saks Global. He is an owner of National Realty & Development Corporation (NRDC), one of the largest real estate development companies in the United States. Mr. Baker previously served as the Chairman of the Board of Directors for Retail Opportunity Investments Corporation (ROIC), after he converted the company into the NASDAQ-listed REIT focused on acquiring retail properties on the west coast of the United States. ROIC was acquired by Blackstone Real Estate for $4 billion in 2025.",30 Main Stage The Power Interview,14 May 2025,09:05 - 09:30,Main Stage,Retail,Not available,"225 Liberty Street, New York, NY 10281, USA",United States,Yes
Richard Bayer,"Executive Vice President, Country Manager and Head of Sales, UK,",Clearpay,"Before relocating to London in March 2021 to take up his current role, Rich was based in San Francisco, where he was EVP of Client Success at Afterpay for two years. In that role he built the Client Success team from the ground up and oversaw all of the key retail relationships. He has been with the company for nearly six years.",The Gen Z Consumer - Insights and Buying Habits,14 May 2025,12:50 - 13:50,50 Crystal Palace Suite,Financial Technology,1001-5000 employees,Not available,Australia,Yes
Roisin Currie,"Chief Executive,",Greggs,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.",how to learn from challenger brands and to adopt a different way of connecting with customers,14 May 2025,14:00 - 14:40,Track 2,Food Retail,"25,000 employees","Greggs House, Quorum Business Park, Newcastle upon Tyne, NE12 8BU, United Kingdom",United Kingdom,No
Rolf Schumann,"CEO,",Schwarz Digits,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.",00 Main Stage Retail in an Uncertain Time,13 May 2025,10:40 - 11:00,Main Stage,Not available,Not available,Not available,Not available,Not available
Romy Miller,"Chief Marketing Officer,",Knoops,"Romy joined Knoops in 2024 to realise the ambition of creating a new category: doing for chocolate drinks what has been done for barista coffee. Before Knoops, Romy was Global Brand Director at KellyDeli, an artisan sushi concept with 1,200 retail locations and DTC e-commerce across the UK, Europe, LatAm and Dubai. From 2013-2021, Romy was Marketing & Commercial Director at GAIL’s Bakery, known for crafting category-defining brand love.",Growing Disruptive Retail Brands,13 May 2025,14:00 - 14:40,Track 1,Food & Beverage,11-50 employees,Not available,United Kingdom,No
Roy Horgan,"CEO UK & Ireland & SEVP Strategy, Marketing & Communications,",VusionGroup,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.","AI-Driven, People-Powered, Store-Centric",14 May 2025,12:10 - 12:50,Track 2,Not available,Not available,Not available,Not available,Not available
Sandra Stanley,"Chief Data Science Officer,",dunnhumby,"Sandra Stanley, Chief Data Science Officer at dunnhumby, leads innovation in AI and data science to drive customer-first retail solutions. With over 25 years’ experience in data science and AI, she specialises in turning data into tangible value for retailers. A recognised industry leader, she was DataIQ Global Data and Analytics Leader of the Year in 2023, and recently took home the 2025 Everywoman in Technology Leader Award.",AI’s real-world impact on retail,13 May 2025,15:00 - 15:20,Track 2,Customer Data Science,2000+ employees,"184 Shepherds Bush Road, London W6 7NL, United Kingdom",United Kingdom,Yes
Scott Price,"Group Chief Executive,",DFI Retail Group,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.",Growth Drivers: Where is global retail growth coming from?,13 May 2025,17:20 - 17:40,Main Stage,Retail,"Approximately 230,000 employees","21st Floor, Devon House, Taikoo Place, 979 King's Road, Quarry Bay",Hong Kong,Yes
Sean Biddick,"Managing Director and Partner,",BCG,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.",Tech-Enabled Teams,13 May 2025,11:30 - 12:30,Track 3,Management Consulting,"25,000+ employees","Exchange Place, 31 St James Ave, Boston, MA 02116, USA",United States,Yes
Selvane Mohandas du Ménil,"Managing Director ,",International Association of Department Stores,"His extensive experience in business development combined with his current position, where he is exchanging on a regular basis with the CEOs of the top department stores in the world, allow him to have an expert understanding of retail and most specifically of the trends, challenges and solutions, in the exciting world of department stores.","Winning ways of delivering experience, service and building loyalty",13 May 2025,11:00 - 11:30,Track 3,Retail Association,Not available,Not available,Not available,Yes
Sharmila Murat,"Director,",Agthia Group,"Previously, Sharmila spent nearly fourteen years with the Chalhoub Group, where she led multiple luxury, fashion, and beauty businesses, drove digital transformation, and launched new brands and concepts. In her last role, she served as Chief Investment Officer and represented the group as a director on several company boards.",International Expansion in a Changing World,13 May 2025,14:40 - 15:40,40 Crystal Palace Suite,Food & Beverage,2000+ employees,"Sky Tower, Al Reem Island, P.O. Box 37725, Abu Dhabi",United Arab Emirates,Yes
Simon Dyer,"Regional Vice President,",Mirakl,"Simon Dyer joined Mirakl five years ago and as RVP EMEA North and VP EMEA Sales Engineering, he plays a critical role in expanding Mirakl's business outside its core geographies and driving business growth by leading a qualified pre-sales function. Simon’s career includes experiences at Siebel, Oracle and Zuora, spanning positions in customer success, consulting, pre-sales and sales. His comprehensive understanding of both pre- and post-sales environments, combined with his experience in shaping sales strategies and building successful teams, makes him a vital asset to Mirakl's continued growth and success.","The Engine Behind eCommerce Growth - Extending your Assortment Online, Profitably",14 May 2025,12:50 - 13:50,Not available,Technology,800+ employees,"40 Avenue de la Grande Armée, 75017 Paris, France",France,Yes
Simon Pakenham-Walsh,"Chief Information Officer,",River Island,"Simon Pakenham-Walsh is the Chief Information Officer at River Island, looking after technology and data at one of the UK’s most iconic retail brands with over 240 stores.",How Retail & Brand Leaders are Building Connected Consumer Experiences with Data and AI,13 May 2025,11:30 - 12:10,Track 2,Retail,3000+ employees,"Chelsea House, Westgate, London, W5 1DR, United Kingdom",United Kingdom,Yes
Simon Vincent OBE,"EVP & President EMEA,",Hilton,"Vincent has more than three decades of experience in hospitality and tourism, previously serving as CEO of Opodo, the pan-European online travel agency and COO of Thomas Cook Travel. He spent the early part of his career in International Banking with HSBC and has extensive international experience having also worked in North America and Japan. From 2014-2023 he served as non-executive director at iconic London retailer Fortnum & Mason.",Winning Customer Experience from Beyond Retail,14 May 2025,14:00 - 14:40,Track 1,Hospitality,"About 141,000 employees","7930 Jones Branch Drive, McLean, VA 22102, USA",United States,Yes
Sir Terry Leahy,"Senior Advisor,","Clayton, Dubilier & Rice","Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.","Driving Growth in PE, VC or PLCs",13 May 2025,14:00 - 14:40,Track 2,Private Equity,Not available,"375 Park Avenue, 18th Floor, New York, NY 10152, USA",United States,Yes
Sjoerd Holleman,"SVP Strategy, Product & Analytics,",Albert Heijn,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.",Shaping the Retail Industry Through the Future of the Consumer,14 May 2025,09:50 - 10:20,Main Stage,Retail,"100,000+ employees","Provincialeweg 11, 1506 MA Zaandam, Netherlands",Netherlands,No
Sonia Abrahams,"Director, Insight,",Brunswick Group,"Over the course of her 20-year career, Sonia has used insight to develop and inform messaging and strategy across a range of complex and politically charged reputational issues, including post Brexit trade issues, airport expansion, health and pensions reform. Sonia has advised clients including Prudential, Heathrow and Google, as well as various UK Government departments such as the Department for International Trade.",AI in Retail: The Customer’s Perspective,14 May 2025,16:40 - 17:00,Main Stage,Public Relations and Communications,1001-5000 employees,"16 Lincoln's Inn Fields, London WC2A 3ED, United Kingdom",United Kingdom,Yes
Stefan Vanoverbeke,"Retail Markets Manager,",Ingka Group (IKEA),"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.",Growth Drivers: Where is global retail growth coming from?,13 May 2025,09:50 - 10:20,Main Stage,Retail,"Approximately 225,000 employees","Olof Palmestraat 1, 2616 LN Delft, Netherlands",Netherlands,Yes
Suzanne Long,"Former Chief Sustainability and Transformation Officer,",Albertsons,"Suzanne joined the “new” Albertsons Companies in 2012, leading five major acquisitions/integrations that grew the company to the second largest food and drug retailer in the US. In 2017 she was additionally given the assignment of delivering $500M in cost savings over a three-year timeframe. Suzanne became Group Vice President, Strategic Sourcing and Sustainability in 2020, and has since been named the company’s first Chief Sustainability and Transformation Officer, responsible for driving both the company’s ESG strategy (“Recipe for Change”) and a variety of enterprise-wide strategic initiatives.",Winning with the circular economy – and building better businesses,14 May 2025,16:00 - 16:30,Track 1,Retail,"300,000 employees","250 Parkcenter Blvd, Boise, ID 83706, United States",United States,No
Suzy McClintock,"VP, New Verticals,",Deliveroo,"Suzy is the Vice President for new verticals at Deliveroo, leading grocery and retail for the company. In her role, she is responsible for the full strategy, operations and commercial executions of these fast-growing business units across multiple verticals. Before joining Deliveroo in 2021, Suzy spent over 4 years in various commercial, product and strategy roles at Amazon.",Quick Commerce,13 May 2025,12:10 - 12:30,Track 1,Food delivery,2000-5000 employees,"The River Building, 1 Cousin Lane, London, EC4R 3TE, United Kingdom",United Kingdom,Yes
Tasia Filippatos,"President,",Disney Consumer Products,"Tasia Filippatos is the President of Disney Consumer Products, the global retail division of The Walt Disney Company. This division includes the world’s largest licensing business with $62 billion in annual retail sales, the top children’s publishing brand and one of the leading games licensors. It is also comprised of the global Disney Store business and hundreds of shopping destinations at Disney’s theme parks.",Future of Physical Retailing,13 May 2025,17:00 - 17:30,Main Stage,Retail,Not available,"500 South Buena Vista Street, Burbank, CA 91521, USA",United States,Yes
Thomas Dijkman,"Retail Business Consultant ,",Q&A Retail,"Thomas Dijkman is Retail Business Consultant at Q&A Retail and Co-chair of the “Young Ebeltoft” initiative — a global collective of next-gen retail thinkers part of the Ebeltoft Group. He specializes in translating insights, expertise, and creativity into solutions that help leading retailers adapt and thrive in a fast-changing landscape. Thomas has worked with retailers such as SPAR, Nexeye, and Action, advising on strategy, consumer engagement and store concept optimization. At this year’s conference, he co-hosts a session on Gen Z and Gen Alpha, spotlighting exclusive research from Young Ebeltoft. With a no-nonsense, data-driven approach, Thomas helps retailers understand what young consumers and employees want — and how to meet them there.",The Next Generations in Retail: Gen Z and Gen Alpha as Employee and Consumer,14 May 2025,14:40 - 15:40,40 Crystal Palace Suite,Retail,Not available,Not available,Not available,Yes
Thomas Harms,"Co-founder and Chairman,",NET4BOARDS,"Thomas founded NET4BOARDS, an innovative & sophisticated Strategy Consulting Ecosystem. As rethinking strategies are now more important and challenging than ever before, he enables his clients to find their North Star, achieve unique insights and experiences, set long-term Strategy Goals and to decide what to do when.",How to deliver growth and resilience as a New World Order emerges,13 May 2025,08:00 - 09:00,Track 3,Strategy Consulting,Not available,Not available,Not available,No
Tim Danaher,"Partner, Consumer Industries Group Global Lead,",Brunswick Group,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.",AI in Retail: The Customer’s Perspective,14 May 2025,14:50 - 15:10,Main Stage,Public Relations and Communications,501-1000 employees,"16 Lincoln's Inn Fields, London, WC2A 3ED, United Kingdom",United Kingdom,Yes
Tim Steiner,"CEO,",Ocado,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.",Growth Drivers: Where is global retail growth coming from?,13 May 2025,09:50 - 10:20,Main Stage,Technology,"19,000 employees","Buildings One & Two, Trident Place, Mosquito Way, Hatfield, Hertfordshire, AL10 9UL",United Kingdom,Yes
Tjeerd Jegen,"Chair of Supervisory Board,",Accell Group,"In 2015, Jegen started his career in private equity and became CEO of variety value chain HEMA, focusing on international growth and sustainability. In 2022, he joined Takko Fashion as CEO, leading its expansion and digital transformation. Since November 2023, he has been CEO of Accell Group, the leading European bicycle manufacturer. In April 2025, he transitioned to Chairman of the Supervisory Board.","Driving Growth in PE, VC or PLCs",13 May 2025,14:00 - 14:40,Track 2,Bicycle Manufacturing,"Approximately 3,100 employees","Industrieweg 4, 8444 AR Heerenveen, Netherlands",Netherlands,Yes
Tjeerd van der Zee,"Managing Director,",NET4BOARDS,"A Dutch citizen with a distinguished career in retailing, real-estate and banking, Tjeerd is a transformative leader whose insights have shaped the industry. For over 20 years, Tjeerd served on the management board of the C&A-Group, one of Europe’s largest apparel retail chains, excelling in diverse leadership roles, including CFO, COO, and CEO of C&A Germany. During this time, he played a pivotal role in driving the company’s strategic direction, operational excellence, and growth and expansion across European markets.",How to deliver growth and resilience as a New World Order emerges,13 May 2025,07:45 - 08:45,45 Crystal Palace Suite,Not available,Not available,Not available,Not available,Not available
Todd Snyder,"Founder,",Todd Snyder,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.","Todd Snyder, Founder, Todd Snyder",14 May 2025,10:20 - 10:40,Main Stage,Retail,51-200 employees,"242 Elizabeth St, New York, NY 10012, United States",United States,No
Tommy Resin,"Head of Digital Business,",Stadium,"Tommy Resin has a diverse work experience in various roles and companies. Tommy started their career as a Mystery Shopper at GAPbuster Worldwide in 2006. Tommy then worked as a Store Manager at Stadium from 2006 to 2009. From 2009 to 2014, Tommy served as the Marketing and Communications Manager for Västerbottens idrottsförbund & SISU idrottsutbildarna. In 2014, they returned to Stadium as a Store Manager, and later held positions such as E-Commerce Manager, Commercial Manager Online, and Head of Commercial. Tommy's most recent role at Stadium is Head of Digital Business. Tommy is responsible for driving and developing e-commerce for various brands within the Stadium Group, as well as managing the marketplace business model. Overall, Tommy's work experience demonstrates their expertise in e-commerce, marketing, and management.","The Engine Behind eCommerce Growth - Extending your Assortment Online, Profitably",14 May 2025,12:50 - 13:50,Not available,Retail,Not available,"Arenavägen 63, 121 77 Johanneshov, Sweden",Sweden,No
Tracey Clements,"Retail Executive,",Formerly bp/Boots/Tesco,"Tracey recently moved on from her role as SVP for bp’s vast European retail business, after four years in role. Prior to bp, Tracey was COO at Boots, where she led the UK and ROI operations during the COVID-19 pandemic, and Tesco PLC, where she drove significant improvements in convenience market share, operating margins, and customer propositions as MD of Tesco Express and CEO of One Stop Stores Ltd.",Why Inclusive Leadership Matters More Than Ever,14 May 2025,11:30 - 12:10,Track 1,Not available,Not available,Not available,Not available,Not available
Tracy Bay,"SVP, Head of eCommerce & Strategy,",J.Crew Group,"Tracy Bay is the Head of Strategy and Ecommerce at J.Crew Group, where she leads ecommerce, digital marketing, loyalty & retention for J.Crew and its Factory business, in addition to overseeing corporate strategy and consumer insights across the company’s portfolio of brands. She is focused on driving growth in key areas of the business while developing both brand and corporate strategies to unlock long-term value creation.  Her specialty is analyzing and translating customer behavior into impactful business strategies, ensuring the brands remain relevant and continue to grow in an ever-evolving market.",Leading the AI Revolution,13 May 2025,16:10 - 16:40,Main Stage,Retail,"10,001+ employees","225 Liberty Street, New York, NY 10281, United States",United States,Yes
Tristia Harrison DBE,"Chair / NED,",NEXT,"Chief Executive Officer TalkTalk Group PLC from 2017-2024; the UK's only scale challenger ISP.

Led the relocation of the TalkTalk HQ to Salford Greater Manchester in 2018. In 2023/4 led the demerger of the Group to create TalkTalk Consumer, and PXC (UK's fastest growing B2B Telecoms Platform).

Prior to CEO various senior management positions at The Carphone Warehouse, Best Buy Mobile and TalkTalk Group PLC from 2000-2017. Including CMO, Managing Director Consumer, Marketing Director. I joined the TTG PLC Board as an Executive Director in 2014.

Independent Non-Executive Director at NEXT PLC 2018 to present. Member of Audit, Rem and Nomination committees.

Chair of the Board of Trustees of national homelessness charity Crisis 2020 to present.

Previously spent 10 years as Trustee at Comic Relief and remain an honorary Trustee at Ambitious about Autism.

Humbled receive a DBE for services to Telecommunications in the 2024 New Year honours list.",Why Inclusive Leadership Matters More Than Ever,14 May 2025,11:30 - 12:10,Track 1,Retail,"25,000+ employees","Desford Road, Enderby, Leicester, LE19 4AT",United Kingdom,Yes
Victoria Jenkins,"Founder and CEO,",Unhidden,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.",Growing Disruptive Retail Brands,13 May 2025,14:00 - 14:40,Track 1,Fashion,Not available,Not available,United Kingdom,No
Wern-Yuen Tan,"Partner,",Hillhouse Investment,"Wern-Yuen (“Yuen”) Tan is a Partner at Hillhouse Investment, where he leads the firm’s consumer and retail investments practice globally. Before joining Hillhouse in 2025, Yuen held the position of Chief Commercial Officer at PepsiCo and served as its APAC CEO for the Asia Pacific, including Australia, New Zealand and China. In these roles, he spearheaded strategic growth initiatives as well as worked closely with market teams and strategic channel partners to enhance and expand PepsiCo’s Commercial Data & Digital capabilities.",Retail in Asia,14 May 2025,14:25 - 14:45,Track 1,Investment,Not available,"32/F, Tower 1, Times Square, 1 Matheson Street, Causeway Bay",Hong Kong,Yes
